Organismo,Periodo,PlanDeCuenta,TotalPresupuesto,Aumento,Disminucion,TotalGastado,CantidadEmpleados,CantidadCargos
10,2022,43,1522500.0,0.0,0.0,1428928.87,0.0,0.0
10,2022,45,180000.0,0.0,0.0,182100.01,0.0,0.0
10,2022,46,2500000.0,0.0,0.0,2270000.0,0.0,0.0
10,2022,47,20000000.0,0.0,1400000.0,572430.12,0.0,0.0
10,2022,48,2504000.0,300000.0,0.0,2613143.89,0.0,0.0
10,2022,50,2000000.0,0.0,0.0,105338.45000000001,0.0,0.0
10,2022,51,268800.0,0.0,0.0,131681.08,0.0,0.0
10,2022,52,1900000.0,0.0,0.0,1274600.0,0.0,0.0
10,2022,54,500000.0,500000.0,0.0,500000.0,0.0,0.0
10,2022,73,330000.0,0.0,0.0,0.0,0.0,0.0
10,2023,4,0.0,0.0,0.0,32000.0,0.0,0.0
10,2023,34,40100000.0,0.0,0.0,39210790.31,10.0,10.0
10,2023,37,100000.0,0.0,0.0,0.0,0.0,0.0
10,2023,38,0.0,0.0,0.0,0.0,0.0,0.0
10,2023,40,3650000.0,0.0,0.0,3847600.0,0.0,0.0
10,2023,41,8960000.0,1800000.0,0.0,9772598.29,0.0,0.0
10,2023,42,750000.0,0.0,0.0,690507.91,0.0,0.0
10,2023,43,3150000.0,300000.0,0.0,3213481.49,0.0,0.0
10,2023,45,400000.0,0.0,0.0,345691.16000000003,0.0,0.0
10,2023,46,2600000.0,0.0,0.0,2520000.0,0.0,0.0
10,2023,47,2000000.0,0.0,0.0,457892.24,0.0,0.0
10,2023,48,4800000.0,3000000.0,0.0,4375594.29,0.0,0.0
10,2023,51,350000.0,200000.0,0.0,234216.52,0.0,0.0
10,2023,52,3000000.0,0.0,0.0,2403920.0,0.0,0.0
10,2023,54,1000000.0,0.0,0.0,0.0,0.0,0.0
10,2023,73,350000.0,0.0,0.0,202500.0,0.0,0.0
10,2024,4,0.0,0.0,0.0,304000.0,0.0,0.0
10,2024,34,123000000.0,0.0,0.0,64284986.62,9.0,9.0
10,2024,40,10500000.0,0.0,0.0,4137800.0,0.0,0.0
10,2024,41,27000000.0,0.0,0.0,10877752.97,0.0,0.0
10,2024,42,2000000.0,0.0,0.0,1850056.93,0.0,0.0
10,2024,43,6000000.0,2000000.0,0.0,4837484.36,0.0,0.0
10,2024,44,1000000.0,0.0,1000000.0,0.0,0.0,0.0
10,2024,45,500000.0,1000000.0,0.0,71220.0,0.0,0.0
10,2024,46,210000.0,0.0,0.0,0.0,0.0,0.0
10,2024,47,180000000.0,0.0,12900000.0,152999.1,0.0,0.0
10,2024,48,15000000.0,10000000.0,0.0,13248749.93,0.0,0.0
10,2024,51,700000.0,500000.0,0.0,449604.18,0.0,0.0
10,2024,52,0.0,400000.0,0.0,389320.0,0.0,0.0
10,2024,54,3000000.0,0.0,0.0,0.0,0.0,0.0
10,2024,73,500000.0,0.0,0.0,0.0,0.0,0.0
10,2025,0,0.0,0.0,0.0,45000.0,0.0,0.0
10,2025,34,256620000.0,65000.0,0.0,0.0,9.0,9.0
10,2025,40,22560000.0,0.0,60000.0,0.0,0.0,0.0
10,2025,41,56230000.0,2000.0,0.0,0.0,0.0,0.0
10,2025,42,3800000.0,0.0,0.0,0.0,0.0,0.0
10,2025,43,17000000.0,15000.0,0.0,0.0,0.0,0.0
10,2025,44,1000000.0,1000.0,15000.0,0.0,0.0,0.0
10,2025,45,1000000.0,0.0,0.0,0.0,0.0,0.0
10,2025,47,180000000.0,0.0,0.0,0.0,0.0,0.0
10,2025,48,63000000.0,0.0,0.0,0.0,0.0,0.0
10,2025,51,2200000.0,8000.0,2000.0,0.0,0.0,0.0
10,2025,54,3000000.0,0.0,9000.0,0.0,0.0,0.0
10,2025,73,500000.0,0.0,5000.0,0.0,0.0,0.0
11,2015,34,2800000.0,300000.0,0.0,0.0,10.0,10.0
11,2015,37,5000.0,0.0,0.0,0.0,0.0,0.0
11,2015,40,294000.0,0.0,0.0,0.0,0.0,0.0
11,2015,41,198000.0,0.0,0.0,0.0,0.0,0.0
11,2015,42,35000.0,0.0,0.0,0.0,0.0,0.0
11,2015,43,146000.0,54000.0,0.0,0.0,0.0,0.0
11,2015,44,70000.0,444400.0,0.0,0.0,0.0,0.0
11,2015,45,70000.0,0.0,0.0,0.0,0.0,0.0
11,2015,47,1200000.0,370000.0,0.0,0.0,0.0,0.0
11,2015,48,630000.0,130000.0,0.0,0.0,0.0,0.0
11,2015,51,70000.0,0.0,0.0,0.0,0.0,0.0
11,2015,52,170000.0,0.0,0.0,0.0,0.0,0.0
11,2015,54,200000.0,0.0,100000.0,0.0,0.0,0.0
11,2016,4,0.0,0.0,0.0,6000.0,0.0,0.0
11,2016,34,4100000.0,0.0,0.0,3738184.81,10.0,10.0
11,2016,37,7000.0,0.0,0.0,0.0,0.0,0.0
11,2016,39,0.0,0.0,0.0,0.0,0.0,0.0
11,2016,40,378000.0,0.0,0.0,378000.0,0.0,0.0
11,2016,41,270000.0,30000.0,0.0,297369.0,0.0,0.0
11,2016,42,45000.0,605000.0,0.0,585693.0,0.0,0.0
11,2016,43,250000.0,50000.0,0.0,219023.14,0.0,0.0
11,2016,44,70000.0,0.0,50000.0,12656.32,0.0,0.0
11,2016,45,100000.0,0.0,0.0,60285.75,0.0,0.0
11,2016,47,2825000.0,0.0,0.0,1988702.11,0.0,0.0
11,2016,48,1080000.0,170000.0,0.0,907775.89,0.0,0.0
11,2016,50,1740000.0,0.0,1460000.0,87834.34,0.0,0.0
11,2016,51,90000.0,0.0,0.0,40144.62,0.0,0.0
11,2016,52,300000.0,0.0,0.0,259038.0,0.0,0.0
11,2016,54,600000.0,0.0,550000.0,12720.77,0.0,0.0
11,2017,4,0.0,0.0,0.0,8000.0,0.0,0.0
11,2017,34,5000000.0,200000.0,0.0,4803538.76,10.0,10.0
11,2017,37,9000.0,0.0,0.0,0.0,0.0,0.0
11,2017,40,453600.0,0.0,0.0,453600.0,0.0,0.0
11,2017,41,424000.0,0.0,0.0,371750.0,0.0,0.0
11,2017,42,950000.0,0.0,0.0,945542.76,0.0,0.0
11,2017,43,350000.0,150000.0,0.0,364959.8,0.0,0.0
11,2017,44,20000.0,50000.0,0.0,52767.5,0.0,0.0
11,2017,45,120000.0,0.0,0.0,81428.11,0.0,0.0
11,2017,47,3600000.0,200000.0,0.0,2025942.52,0.0,0.0
11,2017,48,1300000.0,0.0,0.0,1049164.45,0.0,0.0
11,2017,50,500000.0,0.0,0.0,0.0,0.0,0.0
11,2017,51,110000.0,0.0,0.0,54804.1,0.0,0.0
11,2017,52,400000.0,100000.0,0.0,338208.0,0.0,0.0
11,2017,54,100000.0,700000.0,0.0,800000.0,0.0,0.0
11,2018,4,0.0,0.0,0.0,0.0,0.0,0.0
11,2018,34,6500000.0,0.0,0.0,5548973.54,10.0,10.0
11,2018,37,11000.0,0.0,0.0,0.0,0.0,0.0
11,2018,40,544320.0,0.0,0.0,544320.0,0.0,0.0
11,2018,41,388800.0,0.0,0.0,388800.0,0.0,0.0
11,2018,42,510000.0,0.0,0.0,542928.72,0.0,0.0
11,2018,43,600000.0,0.0,0.0,417411.42,0.0,0.0
11,2018,44,25000.0,0.0,0.0,7257.4,0.0,0.0
11,2018,45,145000.0,0.0,105000.0,45398.82,0.0,0.0
11,2018,46,500000.0,0.0,0.0,490900.0,0.0,0.0
11,2018,47,4320000.0,880000.0,0.0,2594741.84,0.0,0.0
11,2018,48,1600000.0,0.0,300000.0,772464.97,0.0,0.0
11,2018,50,600000.0,0.0,600000.0,0.0,0.0,0.0
11,2018,51,135000.0,0.0,0.0,71115.95999999999,0.0,0.0
11,2018,52,600000.0,0.0,0.0,378375.0,0.0,0.0
11,2018,54,100000.0,0.0,100000.0,0.0,0.0,0.0
11,2019,34,10000000.0,0.0,0.0,8156883.4799999995,11.0,11.0
11,2019,37,15000.0,0.0,0.0,0.0,0.0,0.0
11,2019,40,762000.0,150000.0,0.0,912000.0,0.0,0.0
11,2019,41,540000.0,0.0,360000.0,180000.0,0.0,0.0
11,2019,42,250000.0,0.0,0.0,63834.9,0.0,0.0
11,2019,43,140000.0,310000.0,0.0,294536.19,0.0,0.0
11,2019,44,135000.0,0.0,0.0,0.0,0.0,0.0
